FID,objectid,id,name,road_front,suburb,se_area_sh,se_length_,On_Off,Details,GlobalID,SHAPE_Length,SHAPE_Area
76,54,1,Wrights Hill,no,Karori,0,0,Off leash,Off leash under control of owner,{9B8639A1-2A87-4C34-A743-668C06C95AE7},2040.01682607814,19353.0763776656
77,55,1,Maupuia Walkway (Old Prison Rd),yes,Maupuia,0,0,Off leash,Off leash under control of owner,{D703A145-3FAE-4337-8BFD-621EE3079341},2382.24448068831,18103.2115406499
78,56,1,Karori Park,no,Karori,0,0,Off leash,Off leash under control of owner,{F3D7F497-BC8C-4902-A05A-C1BB32F04A18},1217.04711361217,54125.5554093889
79,57,1,Kaiwharawhara Park,no,Kaiwharawhara,0,0,Restrictions,1 November to 31 January only. Prohibited the rest of the year.,{5A5EB39B-AC2C-4303-91DE-767489843569},425.581768787826,10610.1578485555
80,58,1,Duncan Park,no,Tawa,0,0,Off leash,Off leash under control of owner,{63691488-5F9C-44A3-A3D7-029C18D28CBF},544.534891975651,7759.8133157311
81,59,1,Cliff Gaskin Reserve,yes,Makara,0,0,Off leash,Off leash under control of owner,{6B23BEEB-BF14-4CD4-8BAD-8A137358A10A},513.841183187115,5277.66743143578
82,60,1,Ataturk Memorial,no,Strathmore Park,0,0,Off leash,Off leash under control of owner,{3ABA64B5-A2CE-4EB9-ADCB-5DCB0F0DBF4D},1437.11370269285,20629.3200194862
83,61,1,Seton Nossiter Park,no,Grenada Village,0,0,Off leash,Off leash under control of owner,{6305407F-8D7F-4DC0-A5BE-69B9F0055534},1586.07728423475,29188.4519195328
84,63,1,Trelissick Park,yes,Ngaio,0,0,Off leash,Off leash under control of owner,{223932AC-16C5-40CE-991D-AC68BC30C51B},7390.55426591688,157310.408572403
85,64,1,Owen St Park,yes,Newtown,0,0,Off leash,Off leash under control of owner,{BA4530DF-7EFB-4712-91B4-3E65263E50D5},448.522197358859,12740.5473342454
